=== EXPORT DES PRIX BID/ASK ===
Date/Heure: 2026.04.13 14:01
Format: Symbole | Bid | Ask | Spread (pips)
USDHUF               | Bid: 313.789      | Ask: 313.972      | Spread: 183.0 pips
USDILS               | Bid: 3.05571      | Ask: 3.05652      | Spread: 81.0 pips
USDMXN               | Bid: 17.35972     | Ask: 17.36354     | Spread: 382.0 pips
USDNOK               | Bid: 9.49064      | Ask: 9.49270      | Spread: 206.0 pips
USDPLN               | Bid: 3.63666      | Ask: 3.63764      | Spread: 98.0 pips
USDSEK               | Bid: 9.30760      | Ask: 9.30956      | Spread: 196.0 pips
USDZAR               | Bid: 16.51699     | Ask: 16.52291     | Spread: 592.0 pips
USDSGD               | Bid: 1.27537      | Ask: 1.27572      | Spread: 35.0 pips
USDCNH               | Bid: 6.83039      | Ask: 6.83102      | Spread: 63.0 pips
AAPL                 | Bid: 260.29       | Ask: 260.50       | Spread: 21.0 pips
AMZN                 | Bid: 238.24       | Ask: 238.35       | Spread: 11.0 pips
BABA                 | Bid: 127.28       | Ask: 127.43       | Spread: 15.0 pips
BAC                  | Bid: 52.49        | Ask: 52.59        | Spread: 10.0 pips
GOOG                 | Bid: 315.59       | Ask: 315.75       | Spread: 16.0 pips
META                 | Bid: 629.45       | Ask: 629.98       | Spread: 53.0 pips
MSFT                 | Bid: 370.66       | Ask: 370.99       | Spread: 33.0 pips
NFLX                 | Bid: 102.91       | Ask: 103.12       | Spread: 21.0 pips
NVDA                 | Bid: 188.46       | Ask: 188.57       | Spread: 11.0 pips
PFE                  | Bid: 26.88        | Ask: 26.98        | Spread: 10.0 pips
RACE                 | Bid: 351.53       | Ask: 352.14       | Spread: 61.0 pips
T                    | Bid: 26.43        | Ask: 26.53        | Spread: 10.0 pips
TSLA                 | Bid: 348.84       | Ask: 348.96       | Spread: 12.0 pips
V                    | Bid: 303.70       | Ask: 305.50       | Spread: 180.0 pips
WMT                  | Bid: 126.70       | Ask: 126.85       | Spread: 15.0 pips
ZM                   | Bid: 78.93        | Ask: 79.67        | Spread: 74.0 pips
GE                   | Bid: 307.42       | Ask: 308.36       | Spread: 94.0 pips
BA                   | Bid: 217.40       | Ask: 217.60       | Spread: 20.0 pips
RTX                  | Bid: 201.47       | Ask: 201.71       | Spread: 24.0 pips
LMT                  | Bid: 611.77       | Ask: 613.67       | Spread: 190.0 pips
PLTR                 | Bid: 127.96       | Ask: 128.06       | Spread: 10.0 pips
AMD                  | Bid: 244.92       | Ask: 245.05       | Spread: 13.0 pips
INTC                 | Bid: 62.32        | Ask: 62.41        | Spread: 9.0 pips
QCOM                 | Bid: 127.90       | Ask: 128.00       | Spread: 10.0 pips
AVGO                 | Bid: 371.28       | Ask: 371.42       | Spread: 14.0 pips
CSCO                 | Bid: 82.15        | Ask: 82.24        | Spread: 9.0 pips
JNJ                  | Bid: 238.29       | Ask: 238.47       | Spread: 18.0 pips
MCD                  | Bid: 305.56       | Ask: 305.90       | Spread: 34.0 pips
SBUX                 | Bid: 96.53        | Ask: 96.64        | Spread: 11.0 pips
KO                   | Bid: 77.41        | Ask: 77.51        | Spread: 10.0 pips
MSTR                 | Bid: 128.47       | Ask: 128.75       | Spread: 28.0 pips
GME                  | Bid: 23.18        | Ask: 23.27        | Spread: 9.0 pips
NKE                  | Bid: 42.56        | Ask: 42.65        | Spread: 9.0 pips
CVX                  | Bid: 188.49       | Ask: 188.67       | Spread: 18.0 pips
FDX                  | Bid: 372.60       | Ask: 374.08       | Spread: 148.0 pips
JPM                  | Bid: 309.68       | Ask: 309.88       | Spread: 20.0 pips
DIS                  | Bid: 99.06        | Ask: 99.19        | Spread: 13.0 pips
GM                   | Bid: 76.34        | Ask: 76.46        | Spread: 12.0 pips
IBM                  | Bid: 230.47       | Ask: 230.70       | Spread: 23.0 pips
ARM                  | Bid: 148.80       | Ask: 148.92       | Spread: 12.0 pips
SNOW                 | Bid: 120.95       | Ask: 121.05       | Spread: 10.0 pips
ASML                 | Bid: 1476.41      | Ask: 1477.93      | Spread: 152.0 pips
AZN                  | Bid: 203.90       | Ask: 204.50       | Spread: 60.0 pips
BRK.B                | Bid: 479.45       | Ask: 479.93       | Spread: 48.0 pips
XOM                  | Bid: 152.37       | Ask: 152.53       | Spread: 16.0 pips
AIRF                 | Bid: 9.56         | Ask: 9.57         | Spread: 1.0 pips
ALVG                 | Bid: 376.51       | Ask: 376.62       | Spread: 11.0 pips
BAYGn                | Bid: 40.22        | Ask: 40.25        | Spread: 3.0 pips
DBKGn                | Bid: 27.38        | Ask: 27.40        | Spread: 2.0 pips
IBE                  | Bid: 20.08        | Ask: 20.11        | Spread: 3.0 pips
LVMH                 | Bid: 476.49       | Ask: 476.65       | Spread: 16.0 pips
VOWG_p               | Bid: 87.53        | Ask: 87.79        | Spread: 26.0 pips
TTE                  | Bid: 79.62        | Ask: 79.65        | Spread: 3.0 pips
SAN                  | Bid: 10.3300      | Ask: 10.3400      | Spread: 100.0 pips
ADSGn                | Bid: 136.11       | Ask: 136.22       | Spread: 11.0 pips
BMW                  | Bid: 82.97        | Ask: 83.02        | Spread: 5.0 pips
MBG                  | Bid: 53.22        | Ask: 53.25        | Spread: 3.0 pips
SIEGn                | Bid: 226.84       | Ask: 226.90       | Spread: 6.0 pips
COCOA.c              | Bid: 3280.3       | Ask: 3296.8       | Spread: 165.0 pips
COFFEE.c             | Bid: 301.18       | Ask: 301.51       | Spread: 33.0 pips
CORN.c               | Bid: 442.29       | Ask: 443.34       | Spread: 105.0 pips
SOYBEAN.c            | Bid: 1171.22      | Ask: 1173.42      | Spread: 220.0 pips
WHEAT.c              | Bid: 580.40       | Ask: 582.40       | Spread: 200.0 pips
COTTON.c             | Bid: 73.43        | Ask: 73.86        | Spread: 43.0 pips
SUGAR.c              | Bid: 13.84        | Ask: 13.95        | Spread: 11.0 pips
NATGAS.cash          | Bid: 2.677        | Ask: 2.738        | Spread: 61.0 pips
HEATOIL.c            | Bid: 4.098        | Ask: 4.133        | Spread: 35.0 pips
BTCUSD               | Bid: 70726.73     | Ask: 70727.73     | Spread: 100.0 pips
DASHUSD              | Bid: 41.19        | Ask: 41.21        | Spread: 2.0 pips
ETHUSD               | Bid: 2181.65      | Ask: 2182.25      | Spread: 60.0 pips
LTCUSD               | Bid: 52.75        | Ask: 52.90        | Spread: 15.0 pips
DOTUSD               | Bid: 1.152        | Ask: 1.155        | Spread: 3.0 pips
ADAUSD               | Bid: 0.2375       | Ask: 0.2378       | Spread: 3.0 pips
XRPUSD               | Bid: 1.32350      | Ask: 1.32500      | Spread: 150.0 pips
BCHUSD               | Bid: 425.20       | Ask: 425.80       | Spread: 60.0 pips
SOLUSD               | Bid: 81.70        | Ask: 81.73        | Spread: 3.0 pips
AVAUSD               | Bid: 8.98         | Ask: 9.00         | Spread: 2.0 pips
ETCUSD               | Bid: 8.166        | Ask: 8.171        | Spread: 5.0 pips
NEOUSD               | Bid: 2.69         | Ask: 2.77         | Spread: 8.0 pips
XMRUSD               | Bid: 346.23       | Ask: 346.53       | Spread: 30.0 pips
DOGEUSD              | Bid: 0.09076      | Ask: 0.09085      | Spread: 9.0 pips
BNBUSD               | Bid: 597.87       | Ask: 597.88       | Spread: 1.0 pips
SANUSD               | Bid: 0.0747       | Ask: 0.0749       | Spread: 2.0 pips
LNKUSD               | Bid: 8.699        | Ask: 8.701        | Spread: 2.0 pips
NERUSD               | Bid: 1.366        | Ask: 1.373        | Spread: 7.0 pips
ALGUSD               | Bid: 0.1015       | Ask: 0.1018       | Spread: 3.0 pips
ICPUSD               | Bid: 2.415        | Ask: 2.416        | Spread: 1.0 pips
AAVUSD               | Bid: 93.32        | Ask: 93.33        | Spread: 1.0 pips
BARUSD               | Bid: 0.08469      | Ask: 0.08474      | Spread: 5.0 pips
GALUSD               | Bid: 0.00289      | Ask: 0.00290      | Spread: 1.0 pips
GRTUSD               | Bid: 0.02351      | Ask: 0.02353      | Spread: 2.0 pips
IMXUSD               | Bid: 0.1427       | Ask: 0.1428       | Spread: 1.0 pips
MANUSD               | Bid: 0.0859       | Ask: 0.0860       | Spread: 1.0 pips
VECUSD               | Bid: 0.00675      | Ask: 0.00676      | Spread: 1.0 pips
XLMUSD               | Bid: 0.1521       | Ask: 0.1522       | Spread: 1.0 pips
UNIUSD               | Bid: 3.0129       | Ask: 3.0141       | Spread: 12.0 pips
FETUSD               | Bid: 0.2263       | Ask: 0.2264       | Spread: 1.0 pips
XTZUSD               | Bid: 0.3400       | Ask: 0.3430       | Spread: 30.0 pips
--------------------------------------------------
Total symboles exportés: 166
Fin de l'export
